"sp";"name";"indval";"pvalue"
"cawt";"RUNA_1_2_3_4_5_6";0,561;0,002
"msp10_sp";"RUNA_1_2_3_4_5_6";0,542;0,037
"pina";"RUNA_1_2_3_4_5_6";0,5;0,022
"biofr";"RUNA_1_2_3_4_5_6";0,716;0,001
"biofv";"RUNA_1_2_3_4_5_6";0,592;0,05
"cyanob";"RUNA_1_2_3_4_5_6";0,724;0,011
"cca";"RUNA_1_2_3_4_5_6";0,61;0,001
"msp22_sp";"RUNA_7_8_9";0,333;0,029
"msp3_sp";"RUNA_7_8_9";0,732;0,042
"root_barn";"RUNA_7_8_9";0,444;0,009
"miniacina_sp_.j.";"RUNA_7_8_9";0,725;0,006
"msp14_bryo";"RUNA_7_8_9";0,705;0,013
"msp5_bryo";"RUNA_7_8_9";0,717;0,004
"msp11_ascc";"RUNA_7_8_9";0,606;0,02
"msp15_ascc";"RUNA_7_8_9";0,825;0,002
"msp1_ascc";"RUNA_7_8_9";0,646;0,018
"msp3_ascs";"RUNA_7_8_9";0,646;0,001
"msp6_ascc";"RUNA_7_8_9";0,921;0,001
"msp9_ascc";"RUNA_7_8_9";0,556;0,001
